Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
2005 MUNICIPALITY MARIAKANI NUR SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NYAHURURU,MAINA,MAINA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.34676,0.05122,
2005 MUNICIPALITY MARIAKANI PRI SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NYAHURURU,MAINA,MAINA,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.34676,0.05122,
39 BRIDGE ACADEMY NUR,EASTERN,MACHAKOS,,MAVOKO,SETTLED AREA,ATHI RIVER TOWNSHIP,PRIMARY SCHOOL,PRIVATE,,36.97636,-1.44281,0
39 BRIGE ACADEMY PRI,EASTERN,MACHAKOS,,MAVOKO,SETTLED AREA,ATHI RIVER TOWNSHIP,PRIMARY SCHOOL,PRIVATE,,36.97636,-1.44281,0
3-WAY ACADEMY PRI SCH,RIFT VALLEY,NAKURU,MOLO,MOLO,MOLO,MOLO,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.71360,-0.23212,
3-WAY ECD,RIFT VALLEY,NAKURU,MOLO,MOLO,MOLO,MOLO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.71360,-0.23212,
64 SEC SCH,RIFT VALLEY,UASIN GISHU,ELDORET NORTH,TURBO,KAPYEMIT,HURUMA,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.25843,0.52103,
7 FOLKS PRI,EASTERN,MBEERE,GACHOKA,GACHOKA,GICHICHE,NJIGO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.75295,-0.78764,17
A C C & S ECD,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,TOWNSHIP,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,39.64703,-0.44042,3
A C C & S PRIMARY,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,TOWNSHIP,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,39.64703,-0.44042,10
